Global_ID,Cases,Cases_ID,Angle,Vertical_Steps_Section,Horizontal_Steps_Plan,Balcony_Steps,PV_Canopy_Steps,Vertical_Louvre_Steps,sDA,ASE,UDI_Middle,UDI_Low,UDI_High,Winter_Average_Radation_kWh/m2,Summer_Average_Radation_kWh/m2,Area_Active_Solar_Potential,PercArea_Active_Solar_Potential,Area_PV_Potential,PercArea_PV_Potential,Glass_Area,Opaque_Area,Surface_Area,Floor_Area,S/F_RATIO,Canopy_Area,Handrail_Area,Louvers_Area,
Case_036,Back,Back_036,0,-1.2,0,1.8,1.2,1.2,59.26,41.67,67.28,12.95,19.78,271.19,10,9.44,11.89,34.02,42.86,43.74,29.16,72.9,116.64,0.63,19.44,14.58,35.64,
Case_037,Back,Back_037,0,-1.2,0,2.4,0,0,74.07,58.33,55.15,10.08,34.77,483.36,18.01,0,0,14.58,60,43.74,29.16,72.9,116.64,0.63,0,14.58,0,
Case_038,Back,Back_038,0,-1.2,0,2.4,0,0.6,67.28,56.48,59.01,11.1,29.88,416.81,16.34,8.75,20.77,14.58,34.62,43.74,29.16,72.9,116.64,0.63,0,14.58,17.82,
Case_039,Back,Back_039,0,-1.2,0,2.4,0,1.2,62.04,49.07,63.56,12.45,23.98,330.77,12.69,13.86,23.12,14.58,24.32,43.74,29.16,72.9,116.64,0.63,0,14.58,35.64,
Case_040,Back,Back_040,0,-1.2,0,2.4,0.6,0,71.3,54.63,58.65,10.51,30.84,407.52,13.1,0,0,24.3,71.43,43.74,29.16,72.9,116.64,0.63,9.72,14.58,0,
Case_041,Back,Back_041,0,-1.2,0,2.4,0.6,0.6,66.36,47.22,62.81,11.53,25.66,356.04,12.05,0,0,24.3,46.88,43.74,29.16,72.9,116.64,0.63,9.72,14.58,17.82,
Case_042,Back,Back_042,0,-1.2,0,2.4,0.6,1.2,58.02,41.67,67.41,13.03,19.56,289.71,10.08,9.44,13.55,24.3,34.88,43.74,29.16,72.9,116.64,0.63,9.72,14.58,35.64,
Case_043,Back,Back_043,0,-1.2,0,2.4,1.2,0,66.67,48.15,62.26,11.29,26.45,332.98,7.93,0,0,34.02,77.78,43.74,29.16,72.9,116.64,0.63,19.44,14.58,0,
Case_044,Back,Back_044,0,-1.2,0,2.4,1.2,0.6,59.88,41.67,66.51,12.46,21.03,291.36,7.01,0,0,34.02,55.26,43.74,29.16,72.9,116.64,0.63,19.44,14.58,17.82,
Case_045,Back,Back_045,0,-1.2,0,2.4,1.2,1.2,51.23,34.26,70.79,14.15,15.06,241.2,6.14,0,0,34.02,42.86,43.74,29.16,72.9,116.64,0.63,19.44,14.58,35.64,
Case_046,Back,Back_046,0,-1.2,0.6,0,0,0,86.32,53.723333,53.66,10.18,36.15,682.79,34.47,1.22,4.41,26.32,95.59,43.74,46.98,90.72,116.64,0.78,0,0,0,
Case_047,Back,Back_047,0,-1.2,0.6,0,0,0.6,75.82,50.223333,57.4,11.32,31.28,547.9,26.02,16.04,35.36,29.32,64.64,43.74,46.98,90.72,116.64,0.78,0,0,17.82,
Case_048,Back,Back_048,0,-1.2,0.6,0,0,1.2,66.63,43.786667,60.28,12.62,27.09,434.71,19.12,31.44,49.76,30.12,47.67,43.74,46.98,90.72,116.64,0.78,0,0,35.64,
Case_049,Back,Back_049,0,-1.2,0.6,0,0.6,0,82.84,53.723333,54.39,10.39,35.23,602.74,27.72,15.79,42.39,18.23,48.91,43.74,46.98,90.72,116.64,0.78,9.72,0,0,
Case_050,Back,Back_050,0,-1.2,0.6,0,0.6,0.6,73.86,50.223333,57.98,11.48,30.54,478.12,20.13,25.92,47.06,25.92,47.06,43.74,46.98,90.72,116.64,0.78,9.72,0,17.82,
Case_051,Back,Back_051,0,-1.2,0.6,0,0.6,1.2,63.81,43.786667,61.11,12.83,26.06,371.67,14.06,37.56,51.53,28.45,39.03,43.74,46.98,90.72,116.64,0.78,9.72,0,35.64,
Case_052,Back,Back_052,0,-1.2,0.6,0,1.2,0,81.99,53.2,56.46,10.67,32.87,519.15,22.28,14.58,31.03,19.44,41.38,43.74,46.98,90.72,116.64,0.78,19.44,0,0,
Case_053,Back,Back_053,0,-1.2,0.6,0,1.2,0.6,71.29,49.183333,60.67,11.72,27.61,414.92,16.54,20.17,31.13,24.79,38.25,43.74,46.98,90.72,116.64,0.78,19.44,0,17.82,
Case_054,Back,Back_054,0,-1.2,0.6,0,1.2,1.2,62.8,40.85,64.38,13.44,22.18,312.83,10.98,18.5,22.4,34.76,42.08,43.74,46.98,90.72,116.64,0.78,19.44,0,35.64,
Case_055,Back,Back_055,0,-1.2,0.6,0.6,0,0,79.28,53.723333,53.77,10.56,35.67,524.82,26.92,1.22,2.88,37.26,88.46,43.74,46.98,90.72,116.64,0.78,0,14.58,0,
Case_056,Back,Back_056,0,-1.2,0.6,0.6,0,0.6,71.21,50.223333,57.38,11.66,30.96,433.27,21.52,12.39,20.68,43.9,73.24,43.74,46.98,90.72,116.64,0.78,0,14.58,17.82,
Case_057,Back,Back_057,0,-1.2,0.6,0.6,0,1.2,64,43.786667,60.02,13.18,26.8,348.96,16.14,30.18,38.82,43.93,56.5,43.74,46.98,90.72,116.64,0.78,0,14.58,35.64,
Case_058,Back,Back_058,0,-1.2,0.6,0.6,0.6,0,79.11,53.723333,54.34,10.58,35.07,449.71,20.56,16.24,31.34,28.71,55.38,43.74,46.98,90.72,116.64,0.78,9.72,14.58,0,
Case_059,Back,Back_059,0,-1.2,0.6,0.6,0.6,0.6,70.25,50.223333,58,11.73,30.27,365.43,15.76,22.27,31.98,40.5,58.14,43.74,46.98,90.72,116.64,0.78,9.72,14.58,17.82,
Case_060,Back,Back_060,0,-1.2,0.6,0.6,0.6,1.2,62.48,43.786667,60.85,13.31,25.84,287.08,11.12,35.94,41.09,43.03,49.19,43.74,46.98,90.72,116.64,0.78,9.72,14.58,35.64,
Case_061,Back,Back_061,0,-1.2,0.6,0.6,1.2,0,76.7,53.2,56.36,10.9,32.74,371.13,15.85,10.94,17.76,34.02,55.26,43.74,46.98,90.72,116.64,0.78,19.44,14.58,0,
Case_062,Back,Back_062,0,-1.2,0.6,0.6,1.2,0.6,69.66,49.183333,60.72,12.1,27.18,304.5,12.42,16.52,20.82,39.37,49.59,43.74,46.98,90.72,116.64,0.78,19.44,14.58,17.82,
Case_063,Back,Back_063,0,-1.2,0.6,0.6,1.2,1.2,61.2,40.85,64.21,13.76,22.03,228.92,8.08,19.85,20.42,48,49.38,43.74,46.98,90.72,116.64,0.78,19.44,14.58,35.64,
Case_064,Back,Back_064,0,-1.2,0.6,1.2,0,0,77.24,53.723333,54.14,10.7,35.17,495.48,24.46,6.08,14.42,36.04,85.58,43.74,46.98,90.72,116.64,0.78,0,14.58,0,
Case_065,Back,Back_065,0,-1.2,0.6,1.2,0,0.6,69.65,50.223333,57.53,11.9,30.57,402,18.73,14.34,23.92,39.53,65.95,43.74,46.98,90.72,116.64,0.78,0,14.58,17.82,
Case_066,Back,Back_066,0,-1.2,0.6,1.2,0,1.2,61.82,43.786667,60.09,13.4,26.51,331.38,14.86,26.17,33.65,43.93,56.5,43.74,46.98,90.72,116.64,0.78,0,14.58,35.64,
Case_067,Back,Back_067,0,-1.2,0.6,1.2,0.6,0,77.37,53.723333,54.63,10.73,34.63,428.17,18.97,21.87,42.19,26.73,51.56,43.74,46.98,90.72,116.64,0.78,9.72,14.58,0,
Case_068,Back,Back_068,0,-1.2,0.6,1.2,0.6,0.6,68.71,50.223333,58.09,11.82,30.09,340.08,13.69,24.06,34.53,36.29,52.09,43.74,46.98,90.72,116.64,0.78,9.72,14.58,17.82,
Case_069,Back,Back_069,0,-1.2,0.6,1.2,0.6,1.2,61.51,43.786667,60.93,13.47,25.6,270.39,9.94,30.4,34.75,43.03,49.19,43.74,46.98,90.72,116.64,0.78,9.72,14.58,35.64,
Case_070,Back,Back_070,0,-1.2,0.6,1.2,1.2,0,75.9,53.2,56.63,10.93,32.44,350.11,13.98,14.58,23.68,34.02,55.26,43.74,46.98,90.72,116.64,0.78,19.44,14.58,0,
Case_071,Back,Back_071,0,-1.2,0.6,1.2,1.2,0.6,67.83,49.183333,60.57,12.23,27.2,279.3,10.36,15.07,18.98,38.39,48.37,43.74,46.98,90.72,116.64,0.78,19.44,14.58,17.82,
Case_072,Back,Back_072,0,-1.2,0.6,1.2,1.2,1.2,60.76,40.85,64.26,13.79,21.95,212.68,6.93,16.11,16.57,48.94,50.35,43.74,46.98,90.72,116.64,0.78,19.44,14.58,35.64,
Case_073,Back,Back_073,0,-1.2,0.6,1.8,0,0,74.94,53.723333,54.96,10.82,34.21,468.08,21.98,24.3,57.69,14.58,34.62,43.74,46.98,90.72,116.64,0.78,0,14.58,0,
Case_074,Back,Back_074,0,-1.2,0.6,1.8,0,0.6,67.42,50.223333,58.45,12.04,29.51,381.93,16.96,28.55,47.63,25.27,42.16,43.74,46.98,90.72,116.64,0.78,0,14.58,17.82,
Case_075,Back,Back_075,0,-1.2,0.6,1.8,0,1.2,59.94,43.786667,61.19,13.64,25.16,309.22,12.71,31.6,40.63,26.23,33.73,43.74,46.98,90.72,116.64,0.78,0,14.58,35.64,
Case_076,Back,Back_076,0,-1.2,0.6,1.8,0.6,0,73.45,53.2,56.75,11.07,32.18,396.25,17.34,14.18,27.34,24.3,46.88,43.74,46.98,90.72,116.64,0.78,9.72,14.58,0,
Case_077,Back,Back_077,0,-1.2,0.6,1.8,0.6,0.6,66.54,49.183333,60.8,12.24,26.96,326.54,13.79,24.06,34.53,25.76,36.98,43.74,46.98,90.72,116.64,0.78,9.72,14.58,17.82,
Case_078,Back,Back_078,0,-1.2,0.6,1.8,0.6,1.2,59.65,40.85,64.34,14.01,21.65,256.5,9.86,17.92,20.49,33.08,37.82,43.74,46.98,90.72,116.64,0.78,9.72,14.58,35.64,
Case_079,Back,Back_079,0,-1.2,0.6,1.8,1.2,0,74.08,47.833333,60.03,11.45,28.52,330.49,12.28,10.94,17.76,34.02,55.26,43.74,46.98,90.72,116.64,0.78,19.44,14.58,0,
Case_080,Back,Back_080,0,-1.2,0.6,1.8,1.2,0.6,63.35,42.166667,64,12.81,23.19,279.05,10.37,16.77,21.12,34.02,42.86,43.74,46.98,90.72,116.64,0.78,19.44,14.58,17.82,
Case_081,Back,Back_081,0,-1.2,0.6,1.8,1.2,1.2,53.97,35.95,67.88,14.58,17.54,221.14,7.52,15.07,15.5,36.94,38,43.74,46.98,90.72,116.64,0.78,19.44,14.58,35.64,
Case_082,Back,Back_082,0,-1.2,0.6,2.4,0,0,72.69,53.2,57.09,11.17,31.74,406.81,17.08,12.96,30.77,14.58,34.62,43.74,46.98,90.72,116.64,0.78,0,14.58,0,
Case_083,Back,Back_083,0,-1.2,0.6,2.4,0,0.6,64.9,49.183333,61.01,12.47,26.53,339.6,13.58,24.06,40.14,16.04,26.76,43.74,46.98,90.72,116.64,0.78,0,14.58,17.82,
Case_084,Back,Back_084,0,-1.2,0.6,2.4,0,1.2,57.81,40.85,64.42,14.3,21.29,270.39,9.76,23.95,30.8,23.16,29.78,43.74,46.98,90.72,116.64,0.78,0,14.58,35.64,
Case_085,Back,Back_085,0,-1.2,0.6,2.4,0.6,0,70.33,47.833333,60.18,11.54,28.28,346.01,12.29,10.94,21.09,24.3,46.88,43.74,46.98,90.72,116.64,0.78,9.72,14.58,0,
Case_086,Back,Back_086,0,-1.2,0.6,2.4,0.6,0.6,61.07,42.166667,64.32,12.91,22.77,294.19,10.38,16.77,24.07,24.3,34.88,43.74,46.98,90.72,116.64,0.78,9.72,14.58,17.82,
Case_087,Back,Back_087,0,-1.2,0.6,2.4,0.6,1.2,54.14,35.95,67.75,14.8,17.46,236.83,7.62,20.9,23.89,27.22,31.11,43.74,46.98,90.72,116.64,0.78,9.72,14.58,35.64,
